orig_smiles,canonical,formal_charge,donor_atom_count,quaternary_onium_center,keep,exclusion_reason
CCCCCCCC/C=C\CCCCCCCC(=O)O,CCCCCCCC/C=C\CCCCCCCC(=O)O,0,2,False,True,
CCCCCCCCC(=O)O,CCCCCCCCC(=O)O,0,2,False,True,
CCCCCCCCCC(=O)O,CCCCCCCCCC(=O)O,0,2,False,True,
CCCCCCCCCCCC(=O)O,CCCCCCCCCCCC(=O)O,0,2,False,True,
CCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCC(=O)O,0,2,False,True,
CCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCC(=O)O,0,2,False,True,
CCCCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCCCC(=O)O,0,2,False,True,
CCCCCCCCCCCCCCCCCCO,CCCCCCCCCCCCCCCCCCO,0,1,False,True,
CCCCCCCCCCCCCCCCO,CCCCCCCCCCCCCCCCO,0,1,False,True,
CCCCCCCCCCCCCCO,CCCCCCCCCCCCCCO,0,1,False,True,
CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC,1,1,True,False,"quaternary onium cation (N+/P+, all-C substituents, no H) with no additional donor heteroatoms - not a plausible Co/Ni ligand"
CCCCCCCCCCO,CCCCCCCCCCO,0,1,False,True,
CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,0,2,False,True,
CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,1,1,True,False,"quaternary onium cation (N+/P+, all-C substituents, no H) with no additional donor heteroatoms - not a plausible Co/Ni ligand"
