Name,solvent_SMILES,CAS,G-score prediction,G-score prediction uncertainty,Relative Energy Difference (RED),Source
Azelaic Acid,O=C(O)CCCCCCCC(O)=O,123-99-9,6.665,0.837,0.9669539802906852,low-fidelity RED
Methylglycine,O=C(O)CNC,107-97-1,5.956,0.8748,0.736970148649184,low-fidelity RED
n-Propylglycine,O=C(O)CNCCC,6939-13-5,5.684,0.9814,0.9565563234854493,low-fidelity RED
Methoxyacetic Acid,O=C(O)COC,625-45-6,5.506,0.7658,0.7582875444051546,low-fidelity RED
"3-Bromo-1,1,1-Trifluoro-2-Propanol",OC(C(F)(F)F)CBr,88378-50-1,5.049,0.8396,0.9663074045043843,low-fidelity RED
2-Propanol,OC(C)C,67-63-0,6.387,0.7035,0.5852349955359816,high-fidelity RED
"2,3-Pentanediol",OC(C)C(O)CC,42027-23-6,6.465,1.035,0.6123724356957944,low-fidelity RED
"2,3-Hexanediol",OC(C)C(O)CCC,617-30-1,6.318,0.9901,0.6349212549600141,low-fidelity RED
"2-Methyl-2,3-Pentanediol",OC(CC)C(O)(C)C,7795-80-4,6.723,0.8751,0.8066132902450837,low-fidelity RED
2-Hydroxy Caproic Acid,OC(CCCC)C(O)=O,6064-63-7,6.447,1.062,0.7818247885555947,low-fidelity RED
"Adipic Acid (1,6-Hexanedioic)",OC(CCCCC(O)=O)=O,124-04-9,6.72,0.8047,0.9506576670915776,high-fidelity RED
Pimelic Acid ,OC(CCCCCC(O)=O)=O,111-16-0,6.665,0.837,0.7566372975210769,low-fidelity RED
Octanedioic Acid,OC(CCCCCCC(O)=O)=O,505-48-6,6.665,0.837,0.8143248737451166,low-fidelity RED
"3-(3-Methylbutoxy)Propane-1,2-Diol",OC(CO)COCCC(C)C,627-92-9,7.393,1.108,0.9532837982468807,low-fidelity RED
"3-Butoxy-1,2-Propanediol",OC(CO)COCCCC,624-52-2,7.594,1.045,0.7705517503711214,low-fidelity RED
"2,2-Dimethyl-1,3-Butanediol",OCC(C(O)C)(C)C,76-35-7,7.039,0.9599,0.6383572667401854,low-fidelity RED
"2,2-Dimethyl-1,3-Pentanediol",OCC(C)(C)C(O)CC,2157-31-5,6.639,0.9271,0.7782191208136694,low-fidelity RED
"2-Methyl-2-Ethyl-1,3-Propanediol",OCC(C)(CC)CO,77-84-9,6.018,0.9536,0.7541551564499174,low-fidelity RED
"2-Methyl-2-Propyl-1,3-Propanediol",OCC(C)(CCC)CO,78-26-2,5.487,0.9345,0.883529852353615,low-fidelity RED
"2-Methyl-1,3-Butanediol",OCC(C)C(O)C,684-84-4,7.198,0.8329,0.8503675675847477,low-fidelity RED
"2-Methyl-1,3-Pentanediol",OCC(C)C(O)CC,149-31-5,6.995,0.8878,0.6828250141873837,low-fidelity RED
"2,4-Diethyl-1,5-Pentanediol",OCC(CC(CC)CO)CC,57987-55-0,7.288,0.8406,0.9874208829065743,low-fidelity RED
"2,2-Diethyl-1,3-Propanediol",OCC(CO)(CC)CC,115-76-4,5.74,0.8451,0.8015609770940698,low-fidelity RED
"2-Ethyl-1,3-Propanediol",OCC(CO)CC,2612-29-5,7.288,0.8406,0.9604686356149277,low-fidelity RED
"2,2,3,3-Tetrafluoro-Propan-1-ol",OCC(F)(F)C(F)F,76-37-9,5.004,0.9099,0.8131727983645293,low-fidelity RED
2-Amino-1-Propanol,OCC(N)C,78-91-1,7.239,0.8081,0.9974968671630005,low-fidelity RED
"2-Methyl-1,2-Propanediol",OCC(O)(C)C,558-43-0,6.305,0.8795,0.9877373132569198,low-fidelity RED
"3-Methyl-1,2-Butanediol",OCC(O)C(C)C,50468-22-9,7.053,0.886,0.575,low-fidelity RED
"1,2-Pentanediol",OCC(O)CCC,5343-92-0,6.772,0.9031,0.7818247885555947,low-fidelity RED
"1,2-Hexanediol",OCC(O)CCCC,6920-22-5,7.38,0.9856,0.7668930825088982,low-fidelity RED
"1,2-Heptanediol",OCC(O)CCCCC,3710-31-4,7.435,0.9897,0.7356969484781086,low-fidelity RED
"3-Allyloxy-1,2-Propanediol",OCC(O)COC\C=C,123-34-2,7.427,1.079,0.8139410298049851,low-fidelity RED
2-Propyn-1-ol,OCC#C,107-19-7,6.113,0.8518,0.7017834423809106,high-fidelity RED
"2,2-Dimethyl-1,4-Butanediol",OCCC(C)(C)CO,32812-23-0,6.153,0.8863,0.5390964663211949,low-fidelity RED
"3-Methyl-1,5-Pentanediol",OCCC(C)CCO,4457-71-0,7.311,0.7719,0.7941190087134287,low-fidelity RED
"1,3-Pentanediol",OCCC(O)CC,3174-67-2,7.125,0.9469,0.7386643351347076,low-fidelity RED
"1,3-Hexanediol",OCCC(O)CCC,21531-91-9,7.162,0.8905,0.709753478328919,low-fidelity RED
"1,3-Octanediol",OCCC(O)CCCCC,23433-05-8,7.825,0.9765,0.845946215784432,low-fidelity RED
"2,2-Dimethyl-1,5-Pentanediol",OCCCC(C)(C)CO,3121-82-2,6.89,0.9107,0.6067330549755799,low-fidelity RED
"1,4-Hexanediol",OCCCC(O)CC,16432-53-4,7.662,1.005,0.6204836822995434,low-fidelity RED
"1,4-Heptanediol",OCCCC(O)CCC,40646-07-9,7.7,0.9399,0.8143248737451169,low-fidelity RED
"1,5-Hexanediol",OCCCCC(O)C,928-40-5,8.5,0.9444,0.7586995452746761,low-fidelity RED
Hydroxycaproic Acid,OCCCCCC(=O)O,1191-25-9,7.952,0.8727,0.7705517503711213,low-fidelity RED
"1,8-Octanediol",OCCCCCCCCO,629-41-4,7.59,0.7067,0.841501633985342,low-fidelity RED
"1,7-Heptanediol",OCCCCCCCO,629-30-1,7.59,0.7067,0.6736096792653734,low-fidelity RED
Dipropylene Glycol,OCCCOCCCO,2396-61-4,7.823,0.7901,0.859505671883554,high-fidelity RED
Methylethanolamine,OCCNC,109-83-1,6.916,0.9429,0.7071067811865477,low-fidelity RED
"Ethanol, 2-(Ethylamino)-",OCCNCC,110-73-6,6.761,0.9628,0.7582875444051547,low-fidelity RED
Methyl Cellosolve,OCCOC,109-86-4,5.38,0.7342,0.46165463281548436,low-fidelity RED
Ethylene Glycol Monoisopropyl Ether,OCCOC(C)C,109-59-1,7.185,0.7879,0.8782084035125145,high-fidelity RED
Vinyl Carbitol,OCCOCCOC=C,929-37-3,7.04,0.9089,0.8154753215150042,high-fidelity RED
Tetraethylene Glycol,OCCOCCOCCOCCO,112-60-7,7.452,0.6907,0.8097067370350818,low-fidelity RED
n-Butylhydroperoxide,OOCCCC,4813-50-7,6.293,0.8218,0.5947688626685164,low-fidelity RED
