Name,solvent_SMILES,CAS,G-score prediction,G-score prediction uncertainty,Relative Energy Difference (RED),Source
β-Angelica Lactone,CC1C=CC(=O)O1,591-11-7,7.032,0.9895,0.4100304866714179,low-fidelity RED
Caramel Pentadione,CC1CC(=O)C(=O)C1C,13494-06-9,6.762,1.059,0.7075485849042452,low-fidelity RED
5-Methyl Tetrahydrofuran-3-One,CC1CC(=O)CO1,34003-72-0,7.261,1.091,0.23717082451262844,low-fidelity RED
Caramel Dione,CC1CC(C(=O)C1=O)C,13494-07-0,7.013,0.9198,0.7075485849042452,low-fidelity RED
Methylprednisolone,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,83-43-2,7.891,1.502,0.943729304408844,low-fidelity RED
Cyclotene,CC1CCC(=O)C1=O,765-70-8,6.791,0.9814,0.6025985396596977,low-fidelity RED
Coffee Dione,CC1CCCC(=O)C1=O,3008-43-3,7.217,1.043,0.6619101147436864,low-fidelity RED
Delta-Hexalactone,CC1CCCC(=O)O1,823-22-3,7.548,0.9861,0.9453835200594523,low-fidelity RED
3-Methylindole   ,Cc1cnc[nH]1,822-36-6,6.148,1.142,0.940079783848158,low-fidelity RED
Acetyl Propionyl,CCC(=O)C(=O)C,600-14-6,7.048,0.9014,0.7228416147400477,low-fidelity RED
2-Propionyl Pyrrole,CCC(=O)C1=CC=CN1,1073-26-3,6.959,1.11,0.6349212549600151,low-fidelity RED
2-Propionyl Thiazole,CCC(=O)C1=NC=CS1,43039-98-1,7.047,1.074,0.7305819598101226,low-fidelity RED
Propionyl Pyrroline 1% In Vegatable Oil Triglyceride,CCC(=O)C1=NCCC1,133447-37-7,7.227,1.159,0.9953014618697189,low-fidelity RED
2-Propionyl-2-Thiazoline,CCC(=O)C1=NCCS1,29926-42-9,6.691,1.053,0.3774917217635375,low-fidelity RED
"Ethyl 2,4-Dioxohexanoate",CCC(=O)CC(=O)C(=O)OCC,13246-52-1,6.547,1.135,0.7794228634059955,low-fidelity RED
Phenobarbital ,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,50-06-6,6.542,1.132,0.7909646009778186,low-fidelity RED
5-Ethyl-2-Thiophene Carboxaldehyde,CCC1=CC=C(S1)C=O,36880-33-8,6.811,1.203,0.26692695630078245,low-fidelity RED
2-Ethyl-5(Or 6)-Methoxypyrazine,CCC1=CN=C(C=N1)OC,68739-00-4,6.21,1.137,0.8634958019585274,low-fidelity RED
2-Acetyl-6-Ethyl Pyrazine,CCC1=NC=CN=C1C(=O)C,34413-34-8,6.459,1.065,0.6731456008918133,low-fidelity RED
