Name,solvent_SMILES,CAS,G-score prediction,G-score prediction uncertainty,Relative Energy Difference (RED),Source
4-Acetyl-2-Methyl Pyrimidine,CC1=NC=CC(=N1)C(=O)C,67860-38-2,7.639,1.208,0.5297405025104275,low-fidelity RED
2-Methyl Pyrazine,CC1=NC=CN=C1,109-08-0,6.204,1.065,0.8909264840602732,high-fidelity RED
2-Acetyl-3-Methyl Pyrazine,CC1=NC=CN=C1C(=O)C,23787-80-6,6.753,1.072,0.5297405025104275,low-fidelity RED
2-Methoxy-3-Methyl Pyrazine,CC1=NC=CN=C1OC,2847-30-5,6.169,1.18,0.5857687256929986,low-fidelity RED
Aldosterone ,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C=O)O,52-39-1,7.511,1.507,0.64323401651343,low-fidelity RED
Berry Furanone,CC1C(=O)C(=C(O1)C)OC,4077-47-8,7.184,1.202,0.9334077351297236,low-fidelity RED
Strawberry Furanone Acetate,CC1C(=O)C(=C(O1)C)OC(=O)C,4166-20-5,7.76,1.125,0.9532837982468808,low-fidelity RED
Mango Furanone,CC1C(=O)C=C(O1)C,14400-67-0,6.52,1.168,0.8204419540710969,low-fidelity RED
2-Methyl Furan-3(2H)-One,CC1C(=O)C=CO1,41763-99-9,6.801,1.027,0.3937003937005908,low-fidelity RED
Coffee Furanone,CC1C(=O)CCO1,3188-00-9,6.754,1.001,0.3937003937005905,low-fidelity RED
Blackberry Thiophenone,CC1C(=O)CCS1,13679-85-1,7.282,1.054,0.7267220926874312,low-fidelity RED
β-Angelica Lactone,CC1C=CC(=O)O1,591-11-7,7.032,0.9895,0.3724916106437831,low-fidelity RED
Caramel Pentadione,CC1CC(=O)C(=O)C1C,13494-06-9,6.762,1.059,0.6595452979136458,low-fidelity RED
5-Methyl Tetrahydrofuran-3-One,CC1CC(=O)CO1,34003-72-0,7.261,1.091,0.23048861143232216,low-fidelity RED
Caramel Dione,CC1CC(C(=O)C1=O)C,13494-07-0,7.013,0.9198,0.6595452979136458,low-fidelity RED
Methylprednisolone,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,83-43-2,7.891,1.502,0.895823643358446,low-fidelity RED
Betamethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,378-44-9,7.826,1.534,0.9772410142846035,low-fidelity RED
Cyclotene,CC1CCC(=O)C1=O,765-70-8,6.791,0.9814,0.6093028803476973,low-fidelity RED
Coffee Dione,CC1CCCC(=O)C1=O,3008-43-3,7.217,1.043,0.6062177826491071,low-fidelity RED
Delta-Hexalactone,CC1CCCC(=O)O1,823-22-3,7.548,0.9861,0.8821139382188677,low-fidelity RED
3-Methylindole   ,Cc1cnc[nH]1,822-36-6,6.148,1.142,0.9424038412485379,low-fidelity RED
Acetyl Propionyl,CCC(=O)C(=O)C,600-14-6,7.048,0.9014,0.6768493185340438,low-fidelity RED
"3,4-Hexane Dione",CCC(=O)C(=O)CC,4437-51-8,6.3,0.7961,0.9424038412485376,low-fidelity RED
2-Propionyl Pyrrole,CCC(=O)C1=CC=CN1,1073-26-3,6.959,1.11,0.6103277807866854,low-fidelity RED
2-Propionyl Thiazole,CCC(=O)C1=NC=CS1,43039-98-1,7.047,1.074,0.6768493185340437,low-fidelity RED
Propionyl Pyrroline 1% In Vegatable Oil Triglyceride,CCC(=O)C1=NCCC1,133447-37-7,7.227,1.159,0.9233092656309689,low-fidelity RED
2-Propionyl-2-Thiazoline,CCC(=O)C1=NCCS1,29926-42-9,6.691,1.053,0.31721443851123793,low-fidelity RED
"Ethyl 2,4-Dioxohexanoate",CCC(=O)CC(=O)C(=O)OCC,13246-52-1,6.547,1.135,0.7267220926874323,low-fidelity RED
Phenobarbital ,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,50-06-6,6.542,1.132,0.7786205751198717,low-fidelity RED
5-Ethyl-2-Thiophene Carboxaldehyde,CCC1=CC=C(S1)C=O,36880-33-8,6.811,1.203,0.2358495283014145,low-fidelity RED
2-Ethyl-5(Or 6)-Methoxypyrazine,CCC1=CN=C(C=N1)OC,68739-00-4,6.21,1.137,0.7778174593052023,low-fidelity RED
2-Ethyl Pyrazine High,CCC1=NC=CN=C1,13925-00-3,6.26,1.111,0.9334077351297234,low-fidelity RED
2-Acetyl-6-Ethyl Pyrazine,CCC1=NC=CN=C1C(=O)C,34413-34-8,6.459,1.065,0.5894913061275799,low-fidelity RED
2-Ethyl-3-Methoxypyrazine,CCC1=NC=CN=C1OC,25680-58-4,5.733,1.18,0.7778174593052023,low-fidelity RED
2-Hexen-4-olide,CCC1C=CC(=O)O1,2407-43-4,7.14,1.006,0.8455767262643886,low-fidelity RED
γ-Hexalactone,CCC1CCC(=O)O1,695-06-7,7.139,0.9546,0.9171968163922064,low-fidelity RED
Acetyl Butyryl,CCCC(=O)C(=O)C,3848-24-6,6.844,0.8796,0.771767452021657,low-fidelity RED
"N,N-Dimethyl Butyramide",CCCC(=O)N(C)C,760-79-2,6.459,0.9238,0.878919791562348,high-fidelity RED
"n-(Heptan-4-Yl)Benzo(D)(1,3)Dioxole-5-Carboxamide",CCCC(CCC)NC(=O)c1ccc2OCOc2c1,745047-51-2,7.108,1.4,0.8488963423174822,low-fidelity RED
Para-Jasmone,CCCC[C@H]1C[C@@H](C(=O)O1)C(=O)C,40010-99-9,8.045,1.181,0.8518362518700413,low-fidelity RED
Sedanenolide,CCCCC1C2=C(C=CCC2)C(=O)O1,62006-39-7,7.361,1.429,0.9797958971132712,low-fidelity RED
Octalactone,CCCCC1CCC(=O)O1,104-50-7,7.243,1.115,0.8909264840602731,low-fidelity RED
6-Amyl-α-Pyrone,CCCCCC1=CC=CC(=O)O1,27593-23-3,6.983,1.136,0.8370334521391599,low-fidelity RED
3-Nonen-4-olide,CCCCCC1=CCC(=O)O1,51352-68-2,7.183,1.109,0.7110731326663944,low-fidelity RED
5-Pentyl-5H-Furan-2-One,CCCCCC1C=CC(=O)O1,21963-26-8,7.379,1.073,0.9513148795220224,low-fidelity RED
γ-Nonalactone,CCCCCC1CCC(=O)O1,104-61-0,7.26,1.072,0.9490126448051153,low-fidelity RED
"2-Hexyl-5 Or 6-Keto-1,4-Dioxane",CCCCCCC1COC(=O)CO1,65504-97-4,8.075,1.196,0.8810505093353043,low-fidelity RED
Capscaisin,CCCCCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,2444-46-4,8.472,1.31,0.3544361719689457,low-fidelity RED
Nonyl Phenoxy Ethanol,CCCCCCCCCC1=CC=CC=C1OCCO,27986-36-3,8.148,1.109,0.8645808232895296,high-fidelity RED
n-Butylpropanamide,CCCCNC(=O)CC,2955-67-1,6.287,0.9457,0.7905694150420947,low-fidelity RED
Butyl Cyanoacetate,CCCCOC(=O)CC#N,5459-58-5,7.034,1.048,0.981389321319526,low-fidelity RED
Di-n-Butyl Sulfoxide,CCCCS(=O)CCCC,2168-93-6,6.17,0.9908,0.9117291264405241,high-fidelity RED
Dibutyl Sulfone,CCCCS(CCCC)(=O)=O,598-04-9,5.729,0.8662,0.9031195934094227,low-fidelity RED
n-Propylpropanamide,CCCNC(=O)CC,3217-86-5,6.133,0.986,0.6878408246098799,low-fidelity RED
2-Propoxypyrazine,CCCOc1cnccn1,,5.937,1.301,0.7403546447480425,low-fidelity RED
Di-n-Propyl Sulfoxide,CCCS(=O)CCC,4253-91-2,5.872,0.9254,0.5678908345800273,high-fidelity RED
"N,N-Diethyl Acetamide",CCN(CC)C(=O)C,685-91-6,5.812,0.8708,0.8284020762890452,high-fidelity RED
Tea Pyrrole,CCN1C=CC=C1C=O,2167-14-8,5.607,1.202,0.1274754878398196,low-fidelity RED
Ch2=C(Ch3)Conhet,CCNC(=O)C(=C)C,7370-88-9,5.604,0.8938,0.593717104351896,low-fidelity RED
N-Ethyl Propanamide,CCNC(CC)=O,5129-72-6,6.34,0.8557,0.7305819598101234,low-fidelity RED
Ethyl Pyruvate,CCOC(=O)C(=O)C,617-35-6,6.51,0.8939,0.9993748045653346,low-fidelity RED
Ethyl Nicotinate,CCOC(=O)C1=CN=CC=C1,614-18-6,7.174,1.162,0.7632168761236876,low-fidelity RED
"Benzene, 1-Ethoxy-4-Nitro-",CCOC1=CC=C(C=C1)[N+](=O)[O-],100-29-8,7.401,1.155,0.8112490369793977,low-fidelity RED
4-Ethoxy Acetophenone,CCOC1=CC=C(C=C1)C(=O)C,1676-63-7,7.673,1.062,0.6025985396596976,high-fidelity RED
Homoanisaldehyde,CCOC1=CC=C(C=C1)C=O,10031-82-0,7.206,1.091,0.7424621202458751,low-fidelity RED
4-Ethoxyacetanilide,CCOC1=CC=C(NC(C)=O)C=C1,62-44-2,8.046,1.108,0.6731456008918136,low-fidelity RED
2-Methyl-6-Ethoxypyrazine,CCOC1=NC(=CN=C1)C,53163-97-6,6.808,1.21,0.7778174593052023,low-fidelity RED
2-Methyl-5-Ethoxypyrazine,CCOC1=NC=C(N=C1)C,67845-34-5,6.572,1.22,0.7778174593052023,low-fidelity RED
2-Methyl-3-Ethoxypyrazine,CCOC1=NC=CN=C1C,32737-14-7,6.375,1.158,0.7778174593052023,low-fidelity RED
5-Ethoxypyrimidine,CCOc1cncnc1,,6.606,1.12,0.4769696007084731,low-fidelity RED
2-Ethoxypyrimidine,CCOc1ncccn1,,6.089,0.9989,0.4769696007084731,low-fidelity RED
Methyl Ethoxypyrazine,CCOCC1=NC=CN=C1,65504-94-1,6.376,1.195,0.8518362518700408,low-fidelity RED
"Benzene, (Ethylsulfonyl)-",CCS(=O)(=O)C1=CC=CC=C1,599-70-2,6.478,0.962,0.37914377220257783,low-fidelity RED
Pyrazon,Cl\C2=C(\C=N/N(c1ccccc1)C2=O)N,1698-60-8,5.735,1.125,0.9737171047075217,low-fidelity RED
