Name,solvent_SMILES,CAS,G-score prediction,G-score prediction uncertainty,Relative Energy Difference (RED),Source
Tetrachloroethylene,Cl/C(Cl)=C(Cl)/Cl,127-18-4,4.878,0.7447,0.8143248737451155,high-fidelity RED
"2,2,4,5,6,7,8,8-Octachloro-2,3,3A,4,7,7A-Hexahydro-4,7-Metha",Cl/C1=C(\Cl)C2(Cl)C(Cl)(Cl)C1(Cl)C3C2CC(Cl)(Cl)C3,5566-34-7,5.383,0.9881,0.9130991183874837,low-fidelity RED
Chlordane  Trans Cis      Isomers ,Cl/C2=C(\Cl)C3(Cl)C1CC(Cl)C(Cl)C1C2(Cl)C3(Cl)Cl,57-74-9,5.632,0.9725,0.7470776398741967,low-fidelity RED
Oxychlordane,Cl\C1=C(/Cl)C2(Cl)C(Cl)(Cl)C1(Cl)C4C2C3OC3(Cl)C4Cl,27304-13-8,5.783,1.147,0.4190763653560053,low-fidelity RED
"2,3,4,5,6,7,7-Heptachloro-1A,1B,5,5A,6,6A,-Hexahydro-(2A Alp",Cl\C1=C(/Cl)C2(Cl)C(Cl)(Cl)C1(Cl)C4C2C3OC3C4Cl,1024-57-3,5.599,1.103,0.5249999999999998,low-fidelity RED
Endosulfan,Cl\C1=C(/Cl)C3(Cl)C(Cl)(Cl)C1(Cl)C2C3COS(=O)OC2,115-29-7,6.221,1.055,0.2512468905280221,low-fidelity RED
"1,6,7,8,9,14,15,16,17,17,18,18-Dodecachloropentacyclo[12.2.1.16,9.02,13.05,10]Octadeca-7,15-Diene",Cl\C2=C(/Cl)C3(Cl)C1CCC4C(CCC1C2(Cl)C3(Cl)Cl)C5(Cl)C(\Cl)=C(\Cl)C4(Cl)C5(Cl)Cl,13560-89-9,5.573,0.9387,0.867827747885489,low-fidelity RED
Hexachlorobenzene,ClC(C(Cl)=C(Cl)C(Cl)=C1Cl)=C1Cl,118-74-1,5.187,0.7399,0.9581883948368402,high-fidelity RED
"1,2,3,5-Tetrachlorobenzene",ClC(C(Cl)=CC(Cl)=C1)=C1Cl,634-90-2,5.445,0.9187,0.7093130479555554,low-fidelity RED
Pentachlorobenzene,ClC(C(Cl)=CC(Cl)=C1Cl)=C1Cl,608-93-5,5.204,0.9471,0.8019507466172721,low-fidelity RED
"1,2,3-Trichlorobenzene",ClC(C(Cl)=CC=C1)=C1Cl,87-61-6,5.327,0.8547,0.7553972464869063,low-fidelity RED
"1,2,3,4-Tetrachlorobenzene",ClC(C(Cl)=CC=C1Cl)=C1Cl,634-66-2,5.472,0.9464,0.7093130479555554,low-fidelity RED
"2,4-Dichlorotoluene",ClC(C=C(Cl)C=C1)=C1C,95-73-8,5.119,1.001,0.860232526704262,low-fidelity RED
Benzotrichloride,ClC(Cl)(C1=CC=CC=C1)Cl,98-07-7,4.831,0.9235,0.9526279441628825,high-fidelity RED
Methoxychlor,ClC(Cl)(Cl)C(c1ccc(OC)cc1)c2ccc(OC)cc2,72-43-5,6.521,1.116,0.9620940702446926,low-fidelity RED
DDT,ClC(Cl)(Cl)C(C2=CC=C(Cl)C=C2)C1=CC=C(Cl)C=C1,50-29-3,5.492,1.058,0.6314665470157544,high-fidelity RED
"2,3,3,3,2',3',3',3'-Octachlorodipropylether",ClC(Cl)(Cl)C(Cl)COCC(Cl)C(Cl)(Cl)Cl,127-90-2,4.985,1.065,0.6837397165588667,low-fidelity RED
